gid,__gid,region,line_name,voltage,capacity_mw,current_load_mw,length_km,no_of_ckt,condu_type,bundl_type,ntr_line,owner,status,ckt_comm_y,impl_mode,nip_id,opgw,fbr_comm_y,opgw_ckt,owner_opgw,t_fbr_opgw,fbr_pwr_ap,fbr_tel_se,sy_ps_loca,symbology,source_gid,selection_basis,inside_study_area_length_km_calculated,source_geometry_length_km_calculated,geometry_wkt
10466,20466,NR,Mock Badarpur - Patparganj 220 kV S/C Line 0466,220 kV,500,0.0,14.859,1,ACSR Moose,Twin,Intra-State,Mock Delhi Transmission Utility,Under Bidding,December 2026,RTM,MOCK-NIP-00466,No,December 2026,,,,,,"Mock coordinates: Badarpur (28.50000N, 77.30000E) to Patparganj (28.63000N, 77.29000E)",220 kV (Under Bidding),10466,Synthetic geometry constrained to approximate Delhi NCT study area,14.859,14.859,"LINESTRING (77.300000 28.500000, 77.311049 28.574656, 77.290000 28.630000)"
10467,20467,NR,Mock Ridge - Pusa 400 kV D/C Line 0467,400 kV,2150,0.0,4.837,2,AL 59 Zebra,Quad,ISTS,Mock Inter-State Grid Delhi,Under Bidding,June 2025,TBCB,MOCK-NIP-00467,Yes,June 2025,2.0,Mock Inter-State Grid Delhi,18.0,6.0,24.0,"Mock coordinates: Ridge (28.68000N, 77.17000E) to Pusa (28.64000N, 77.17000E)",400 kV (Under Bidding),10467,Synthetic geometry constrained to approximate Delhi NCT study area,4.837,4.837,"LINESTRING (77.170000 28.680000, 77.179274 28.666675, 77.170000 28.640000)"
10468,20468,NR,Mock Narela - Punjabi Bagh 220 kV D/C Line 0468,220 kV,850,0.0,20.553,2,AAAC,Twin,Intra-State,Mock South Delhi Transmission Co.,Under Bidding,March 2025,TBCB,MOCK-NIP-00468,Yes,March 2025,2.0,Mock South Delhi Transmission Co.,18.0,6.0,24.0,"Mock coordinates: Narela (28.85000N, 77.09000E) to Punjabi Bagh (28.67000N, 77.13000E)",220 kV (Under Bidding),10468,Synthetic geometry constrained to approximate Delhi NCT study area,20.553,20.553,"LINESTRING (77.090000 28.850000, 77.121174 28.770029, 77.130000 28.670000)"
10469,20469,NR,Mock Punjabi Bagh - Ridge 220 kV D/C Line 0469,220 kV,500,0.0,5.72,2,ACSR Zebra,Twin,Intra-State,Mock North Delhi Transmission Co.,Under Construction,September 2029,RTM,MOCK-NIP-00469,Yes,September 2029,2.0,Mock North Delhi Transmission Co.,12.0,4.0,12.0,"Mock coordinates: Punjabi Bagh (28.67000N, 77.13000E) to Ridge (28.68000N, 77.17000E)",220 kV (Under Construction),10469,Synthetic geometry constrained to approximate Delhi NCT study area,5.72,5.72,"LINESTRING (77.130000 28.670000, 77.140311 28.677206, 77.163210 28.689405, 77.163884 28.678595, 77.170000 28.680000)"
10470,20470,NR,Mock Rohini - Lodhi Road 220 kV S/C Line 0470,220 kV,250,127.4,19.961,1,ACSR Moose,Single,Intra-State,Mock Delhi Transmission Utility,Commissioned,2019,RTM,MOCK-NIP-00470,Yes,2019,1.0,Mock Delhi Transmission Utility,18.0,8.0,18.0,"Mock coordinates: Rohini (28.74000N, 77.11000E) to Lodhi Road (28.59000N, 77.22000E)",220 kV (Commissioned),10470,Synthetic geometry constrained to approximate Delhi NCT study area,19.961,19.961,"LINESTRING (77.110000 28.740000, 77.157217 28.656991, 77.220000 28.590000)"
10471,20471,NR,Mock Rohini - Lodhi Road 220 kV D/C Line 0471,220 kV,800,0.0,20.265,2,ACSR Zebra,Twin,Intra-State,Mock South Delhi Transmission Co.,Under Construction,January 2028,TBCB,MOCK-NIP-00471,Yes,January 2028,2.0,Mock South Delhi Transmission Co.,36.0,4.0,24.0,"Mock coordinates: Rohini (28.74000N, 77.11000E) to Lodhi Road (28.59000N, 77.22000E)",220 kV (Under Construction),10471,Synthetic geometry constrained to approximate Delhi NCT study area,20.265,20.265,"LINESTRING (77.110000 28.740000, 77.131452 28.716776, 77.181383 28.675971, 77.209000 28.619787, 77.220000 28.590000)"
10472,20472,NR,Mock Okhla - Mayur Vihar 400 kV D/C Line 0472,400 kV,1750,0.0,9.489,2,ACSR Zebra,Quad,ISTS,Mock Inter-State Grid Delhi,Under Construction,March 2029,TBCB,MOCK-NIP-00472,No,March 2029,,,,,,"Mock coordinates: Okhla (28.53000N, 77.28000E) to Mayur Vihar (28.61000N, 77.30000E)",400 kV (Under Construction),10472,Synthetic geometry constrained to approximate Delhi NCT study area,9.489,9.489,"LINESTRING (77.280000 28.530000, 77.303653 28.568806, 77.300000 28.610000)"
10473,20473,NR,Mock Najafgarh - Pusa 220 kV S/C Line 0473,220 kV,350,235.2,18.851,1,ACSR Moose,Twin,Intra-State,Mock Delhi Transmission Utility,Commissioned,2022,RTM,MOCK-NIP-00473,No,2022,,,,,,"Mock coordinates: Najafgarh (28.61000N, 76.98000E) to Pusa (28.64000N, 77.17000E)",220 kV (Commissioned),10473,Synthetic geometry constrained to approximate Delhi NCT study area,18.851,18.851,"LINESTRING (76.980000 28.610000, 77.083397 28.623735, 77.170000 28.640000)"
10474,20474,NR,Mock Rohini - Bamnoli 220 kV D/C Line 0474,220 kV,750,441.2,25.86,2,ACSR Moose,Twin,Intra-State,Mock Delhi Transmission Utility,Commissioned,2018,TBCB,MOCK-NIP-00474,Yes,2018,2.0,Mock Delhi Transmission Utility,36.0,2.0,12.0,"Mock coordinates: Rohini (28.74000N, 77.11000E) to Bamnoli (28.53000N, 77.00000E)",220 kV (Commissioned),10474,Synthetic geometry constrained to approximate Delhi NCT study area,25.86,25.86,"LINESTRING (77.110000 28.740000, 77.069715 28.632338, 77.000000 28.530000)"
10475,20475,NR,Mock Patparganj - Badarpur 400 kV D/C Line 0475,400 kV,2200,1168.8,14.624,2,AL 59 Zebra,Twin Moose,ISTS,Mock Delhi Transmission Utility,Commissioned,2020,RTM,MOCK-NIP-00475,No,2020,,,,,,"Mock coordinates: Patparganj (28.63000N, 77.29000E) to Badarpur (28.50000N, 77.30000E)",400 kV (Commissioned),10475,Synthetic geometry constrained to approximate Delhi NCT study area,14.624,14.624,"LINESTRING (77.290000 28.630000, 77.284233 28.603200, 77.289372 28.561980, 77.298789 28.517331, 77.300000 28.500000)"
10476,20476,NR,Mock Mahipalpur - Bamnoli 400 kV D/C Line 0476,400 kV,2250,1182.5,13.343,2,AL 59 Zebra,Twin Moose,ISTS,Mock Inter-State Grid Delhi,Commissioned,2021,RTM,MOCK-NIP-00476,Yes,2021,2.0,Mock Inter-State Grid Delhi,12.0,2.0,18.0,"Mock coordinates: Mahipalpur (28.55000N, 77.13000E) to Bamnoli (28.53000N, 77.00000E)",400 kV (Commissioned),10476,Synthetic geometry constrained to approximate Delhi NCT study area,13.343,13.343,"LINESTRING (77.130000 28.550000, 77.100629 28.541856, 77.053141 28.525542, 77.017290 28.523371, 77.000000 28.530000)"
10477,20477,NR,Mock Vasant Kunj - Pusa 400 kV S/C Line 0477,400 kV,1050,524.2,11.556,1,ACSR Moose,Quad,Intra-State,Mock Delhi Transmission Utility,Commissioned,2023,RTM,MOCK-NIP-00477,Yes,2023,1.0,Mock Delhi Transmission Utility,12.0,4.0,12.0,"Mock coordinates: Vasant Kunj (28.54000N, 77.16000E) to Pusa (28.64000N, 77.17000E)",400 kV (Commissioned),10477,Synthetic geometry constrained to approximate Delhi NCT study area,11.556,11.556,"LINESTRING (77.160000 28.540000, 77.148887 28.575140, 77.170000 28.640000)"
10478,20478,NR,Mock Najafgarh - Punjabi Bagh 220 kV D/C Line 0478,220 kV,700,337.0,16.113,2,ACSR Zebra,Twin,Intra-State,Mock Delhi Transmission Utility,Commissioned,2023,RTM,MOCK-NIP-00478,Yes,2023,2.0,Mock Delhi Transmission Utility,12.0,8.0,12.0,"Mock coordinates: Najafgarh (28.61000N, 76.98000E) to Punjabi Bagh (28.67000N, 77.13000E)",220 kV (Commissioned),10478,Synthetic geometry constrained to approximate Delhi NCT study area,16.113,16.113,"LINESTRING (76.980000 28.610000, 76.999980 28.620359, 77.043014 28.637470, 77.095829 28.655100, 77.130000 28.670000)"
10479,20479,NR,Mock Patparganj - Mahipalpur 220 kV S/C Line 0479,220 kV,500,0.0,18.285,1,ACSR Zebra,Single,Intra-State,Mock North Delhi Transmission Co.,Under Bidding,December 2029,TBCB,MOCK-NIP-00479,No,December 2029,,,,,,"Mock coordinates: Patparganj (28.63000N, 77.29000E) to Mahipalpur (28.55000N, 77.13000E)",220 kV (Under Bidding),10479,Synthetic geometry constrained to approximate Delhi NCT study area,18.285,18.285,"LINESTRING (77.290000 28.630000, 77.194377 28.599453, 77.130000 28.550000)"
10480,20480,NR,Mock Najafgarh - Dwarka 400 kV S/C Line 0480,400 kV,850,441.0,5.793,1,AL 59 Zebra,Twin Moose,ISTS,Mock Inter-State Grid Delhi,Commissioned,2025,TBCB,MOCK-NIP-00480,Yes,2025,1.0,Mock Inter-State Grid Delhi,18.0,2.0,12.0,"Mock coordinates: Najafgarh (28.61000N, 76.98000E) to Dwarka (28.59000N, 77.03000E)",400 kV (Commissioned),10480,Synthetic geometry constrained to approximate Delhi NCT study area,5.793,5.793,"LINESTRING (76.980000 28.610000, 77.021525 28.602996, 77.030000 28.590000)"
10481,20481,NR,Mock Narela - Rohini 220 kV S/C Line 0481,220 kV,500,307.9,12.433,1,ACSR Zebra,Single,Intra-State,Mock North Delhi Transmission Co.,Commissioned,2021,TBCB,MOCK-NIP-00481,Yes,2021,1.0,Mock North Delhi Transmission Co.,36.0,6.0,12.0,"Mock coordinates: Narela (28.85000N, 77.09000E) to Rohini (28.74000N, 77.11000E)",220 kV (Commissioned),10481,Synthetic geometry constrained to approximate Delhi NCT study area,12.433,12.433,"LINESTRING (77.090000 28.850000, 77.093119 28.802137, 77.110000 28.740000)"
10482,20482,NR,Mock Mahipalpur - Shahdara 765 kV D/C Line 0482,765 kV,4050,0.0,20.553,2,AL 59 Zebra,Quad,ISTS,Mock Inter-State Grid Delhi,Under Construction,March 2026,TBCB,MOCK-NIP-00482,Yes,March 2026,2.0,Mock Inter-State Grid Delhi,36.0,6.0,12.0,"Mock coordinates: Mahipalpur (28.55000N, 77.13000E) to Shahdara (28.67000N, 77.29000E)",765 kV (Under Construction),10482,Synthetic geometry constrained to approximate Delhi NCT study area,20.553,20.553,"LINESTRING (77.130000 28.550000, 77.215170 28.617815, 77.290000 28.670000)"
10483,20483,NR,Mock Patparganj - Lodhi Road 220 kV S/C Line 0483,220 kV,300,142.6,9.147,1,ACSR Zebra,Single,Intra-State,Mock Delhi Transmission Utility,Commissioned,2021,TBCB,MOCK-NIP-00483,No,2021,,,,,,"Mock coordinates: Patparganj (28.63000N, 77.29000E) to Lodhi Road (28.59000N, 77.22000E)",220 kV (Commissioned),10483,Synthetic geometry constrained to approximate Delhi NCT study area,9.147,9.147,"LINESTRING (77.290000 28.630000, 77.267836 28.628496, 77.237218 28.621096, 77.221725 28.597334, 77.220000 28.590000)"
10484,20484,NR,Mock Shahdara - Mahipalpur 765 kV S/C Line 0484,765 kV,2550,1279.2,20.597,1,ACSR / AAAC / AL59,Hexa,ISTS,Mock Powergrid Delhi,Commissioned,2020,RTM,MOCK-NIP-00484,No,2020,,,,,,"Mock coordinates: Shahdara (28.67000N, 77.29000E) to Mahipalpur (28.55000N, 77.13000E)",765 kV (Commissioned),10484,Synthetic geometry constrained to approximate Delhi NCT study area,20.597,20.597,"LINESTRING (77.290000 28.670000, 77.213811 28.604093, 77.130000 28.550000)"
10485,20485,NR,Mock Shahdara - Pusa 220 kV D/C Line 0485,220 kV,950,769.2,12.277,2,AAAC,Twin,Intra-State,Mock Delhi Transmission Utility,Commissioned,2022,TBCB,MOCK-NIP-00485,No,2022,,,,,,"Mock coordinates: Shahdara (28.67000N, 77.29000E) to Pusa (28.64000N, 77.17000E)",220 kV (Commissioned),10485,Synthetic geometry constrained to approximate Delhi NCT study area,12.277,12.277,"LINESTRING (77.290000 28.670000, 77.239372 28.664588, 77.170000 28.640000)"
10486,20486,NR,Mock Sarita Vihar - Patparganj 220 kV D/C Line 0486,220 kV,900,578.3,11.262,2,ACSR Zebra,Twin,Intra-State,Mock North Delhi Transmission Co.,Commissioned,2023,RTM,MOCK-NIP-00486,Yes,2023,2.0,Mock North Delhi Transmission Co.,36.0,8.0,18.0,"Mock coordinates: Sarita Vihar (28.53000N, 77.30000E) to Patparganj (28.63000N, 77.29000E)",220 kV (Commissioned),10486,Synthetic geometry constrained to approximate Delhi NCT study area,11.262,11.262,"LINESTRING (77.300000 28.530000, 77.288011 28.573497, 77.290000 28.630000)"
10487,20487,NR,Mock Sarita Vihar - Ridge 220 kV D/C Line 0487,220 kV,550,0.0,20.972,2,ACSR Zebra,Twin,Intra-State,Mock Delhi Transmission Utility,Under Bidding,June 2028,TBCB,MOCK-NIP-00487,No,June 2028,,,,,,"Mock coordinates: Sarita Vihar (28.53000N, 77.30000E) to Ridge (28.68000N, 77.17000E)",220 kV (Under Bidding),10487,Synthetic geometry constrained to approximate Delhi NCT study area,20.972,20.972,"LINESTRING (77.300000 28.530000, 77.230433 28.604687, 77.170000 28.680000)"
10488,20488,NR,Mock Badarpur - Lodhi Road 220 kV D/C Line 0488,220 kV,650,0.0,12.812,2,ACSR Moose,Twin,Intra-State,Mock South Delhi Transmission Co.,Planned,March 2025,RTM,MOCK-NIP-00488,Yes,March 2025,2.0,Mock South Delhi Transmission Co.,24.0,8.0,24.0,"Mock coordinates: Badarpur (28.50000N, 77.30000E) to Lodhi Road (28.59000N, 77.22000E)",220 kV (Planned),10488,Synthetic geometry constrained to approximate Delhi NCT study area,12.812,12.812,"LINESTRING (77.300000 28.500000, 77.267529 28.549049, 77.220000 28.590000)"
10489,20489,NR,Mock Mundka - Najafgarh 220 kV S/C Line 0489,220 kV,350,0.0,7.984,1,AAAC,Twin,Intra-State,Mock South Delhi Transmission Co.,Under Bidding,September 2026,TBCB,MOCK-NIP-00489,Yes,September 2026,1.0,Mock South Delhi Transmission Co.,18.0,8.0,18.0,"Mock coordinates: Mundka (28.68000N, 76.98000E) to Najafgarh (28.61000N, 76.98000E)",220 kV (Under Bidding),10489,Synthetic geometry constrained to approximate Delhi NCT study area,7.984,7.984,"LINESTRING (76.980000 28.680000, 76.970907 28.647350, 76.980000 28.610000)"
10490,20490,NR,Mock Vasant Kunj - Punjabi Bagh 220 kV D/C Line 0490,220 kV,650,0.0,15.143,2,ACSR Zebra,Single,Intra-State,Mock South Delhi Transmission Co.,Under Construction,March 2027,RTM,MOCK-NIP-00490,Yes,March 2027,2.0,Mock South Delhi Transmission Co.,36.0,6.0,12.0,"Mock coordinates: Vasant Kunj (28.54000N, 77.16000E) to Punjabi Bagh (28.67000N, 77.13000E)",220 kV (Under Construction),10490,Synthetic geometry constrained to approximate Delhi NCT study area,15.143,15.143,"LINESTRING (77.160000 28.540000, 77.161837 28.609755, 77.130000 28.670000)"
10491,20491,NR,Mock Najafgarh - Vasant Kunj 220 kV D/C Line 0491,220 kV,750,0.0,19.65,2,ACSR Zebra,Twin,Intra-State,Mock Delhi Transmission Utility,Under Construction,March 2028,RTM,MOCK-NIP-00491,Yes,March 2028,2.0,Mock Delhi Transmission Utility,12.0,8.0,24.0,"Mock coordinates: Najafgarh (28.61000N, 76.98000E) to Vasant Kunj (28.54000N, 77.16000E)",220 kV (Under Construction),10491,Synthetic geometry constrained to approximate Delhi NCT study area,19.65,19.65,"LINESTRING (76.980000 28.610000, 77.052057 28.562095, 77.160000 28.540000)"
10492,20492,NR,Mock Dwarka - Bamnoli 220 kV D/C Line 0492,220 kV,600,307.8,7.738,2,ACSR Zebra,Twin,Intra-State,Mock South Delhi Transmission Co.,Commissioned,2019,RTM,MOCK-NIP-00492,No,2019,,,,,,"Mock coordinates: Dwarka (28.59000N, 77.03000E) to Bamnoli (28.53000N, 77.00000E)",220 kV (Commissioned),10492,Synthetic geometry constrained to approximate Delhi NCT study area,7.738,7.738,"LINESTRING (77.030000 28.590000, 77.004234 28.567497, 77.000000 28.530000)"
10493,20493,NR,Mock Sarita Vihar - Dwarka 220 kV S/C Line 0493,220 kV,500,307.5,27.238,1,ACSR Zebra,Twin,Intra-State,Mock North Delhi Transmission Co.,Commissioned,2018,RTM,MOCK-NIP-00493,No,2018,,,,,,"Mock coordinates: Sarita Vihar (28.53000N, 77.30000E) to Dwarka (28.59000N, 77.03000E)",220 kV (Commissioned),10493,Synthetic geometry constrained to approximate Delhi NCT study area,27.238,27.238,"LINESTRING (77.300000 28.530000, 77.156963 28.555265, 77.030000 28.590000)"
10494,20494,NR,Mock Sarita Vihar - Lodhi Road 400 kV D/C Line 0494,400 kV,1800,0.0,10.592,2,AL 59 Zebra,Quad,Intra-State,Mock Delhi Transmission Utility,Planned,June 2025,TBCB,MOCK-NIP-00494,No,June 2025,,,,,,"Mock coordinates: Sarita Vihar (28.53000N, 77.30000E) to Lodhi Road (28.59000N, 77.22000E)",400 kV (Planned),10494,Synthetic geometry constrained to approximate Delhi NCT study area,10.592,10.592,"LINESTRING (77.300000 28.530000, 77.286084 28.548435, 77.260723 28.573862, 77.235505 28.582390, 77.220000 28.590000)"
10495,20495,NR,Mock Wazirabad - Narela 400 kV S/C Line 0495,400 kV,700,566.1,17.872,1,ACSR Zebra,Twin Moose,ISTS,Mock Delhi Transmission Utility,Commissioned,2025,TBCB,MOCK-NIP-00495,No,2025,,,,,,"Mock coordinates: Wazirabad (28.71000N, 77.18000E) to Narela (28.85000N, 77.09000E)",400 kV (Commissioned),10495,Synthetic geometry constrained to approximate Delhi NCT study area,17.872,17.872,"LINESTRING (77.180000 28.710000, 77.133449 28.785949, 77.090000 28.850000)"
10496,20496,NR,Mock Dwarka - Bawana 220 kV D/C Line 0496,220 kV,900,0.0,23.647,2,AAAC,Twin,Intra-State,Mock South Delhi Transmission Co.,Under Bidding,September 2028,TBCB,MOCK-NIP-00496,No,September 2028,,,,,,"Mock coordinates: Dwarka (28.59000N, 77.03000E) to Bawana (28.80000N, 77.05000E)",220 kV (Under Bidding),10496,Synthetic geometry constrained to approximate Delhi NCT study area,23.647,23.647,"LINESTRING (77.030000 28.590000, 77.057503 28.708726, 77.050000 28.800000)"
10497,20497,NR,Mock Punjabi Bagh - Rohini 220 kV S/C Line 0497,220 kV,350,0.0,8.032,1,ACSR Zebra,Twin,Intra-State,Mock North Delhi Transmission Co.,Under Construction,January 2028,RTM,MOCK-NIP-00497,No,January 2028,,,,,,"Mock coordinates: Punjabi Bagh (28.67000N, 77.13000E) to Rohini (28.74000N, 77.11000E)",220 kV (Under Construction),10497,Synthetic geometry constrained to approximate Delhi NCT study area,8.032,8.032,"LINESTRING (77.130000 28.670000, 77.114540 28.718173, 77.110000 28.740000)"
10498,20498,NR,Mock Vasant Kunj - Pusa 400 kV S/C Line 0498,400 kV,800,528.5,11.473,1,ACSR Zebra,Quad,ISTS,Mock Delhi Transmission Utility,Commissioned,2021,RTM,MOCK-NIP-00498,No,2021,,,,,,"Mock coordinates: Vasant Kunj (28.54000N, 77.16000E) to Pusa (28.64000N, 77.17000E)",400 kV (Commissioned),10498,Synthetic geometry constrained to approximate Delhi NCT study area,11.473,11.473,"LINESTRING (77.160000 28.540000, 77.159519 28.553827, 77.153050 28.588389, 77.160607 28.624975, 77.170000 28.640000)"
10499,20499,NR,Mock Mayur Vihar - Lodhi Road 400 kV S/C Line 0499,400 kV,1050,0.0,8.307,1,AL 59 Zebra,Twin Moose,Intra-State,Mock Inter-State Grid Delhi,Under Bidding,September 2027,RTM,MOCK-NIP-00499,No,September 2027,,,,,,"Mock coordinates: Mayur Vihar (28.61000N, 77.30000E) to Lodhi Road (28.59000N, 77.22000E)",400 kV (Under Bidding),10499,Synthetic geometry constrained to approximate Delhi NCT study area,8.307,8.307,"LINESTRING (77.300000 28.610000, 77.246432 28.589073, 77.220000 28.590000)"
10500,20500,NR,Mock Sarita Vihar - Pusa 400 kV S/C Line 0500,400 kV,750,573.0,17.655,1,AL 59 Zebra,Quad,ISTS,Mock Inter-State Grid Delhi,Commissioned,2021,RTM,MOCK-NIP-00500,Yes,2021,1.0,Mock Inter-State Grid Delhi,12.0,6.0,12.0,"Mock coordinates: Sarita Vihar (28.53000N, 77.30000E) to Pusa (28.64000N, 77.17000E)",400 kV (Commissioned),10500,Synthetic geometry constrained to approximate Delhi NCT study area,17.655,17.655,"LINESTRING (77.300000 28.530000, 77.240116 28.586857, 77.170000 28.640000)"
10501,20501,NR,Mock Okhla - Sarita Vihar 220 kV S/C Line 0501,220 kV,450,227.3,4.421,1,AAAC,Twin,Intra-State,Mock South Delhi Transmission Co.,Commissioned,2023,RTM,MOCK-NIP-00501,Yes,2023,1.0,Mock South Delhi Transmission Co.,18.0,6.0,12.0,"Mock coordinates: Okhla (28.53000N, 77.28000E) to Sarita Vihar (28.53000N, 77.30000E)",220 kV (Commissioned),10501,Synthetic geometry constrained to approximate Delhi NCT study area,4.421,4.421,"LINESTRING (77.280000 28.530000, 77.284896 28.528933, 77.292769 28.515050, 77.303227 28.522603, 77.300000 28.530000)"
10502,20502,NR,Mock Mayur Vihar - Lodhi Road 220 kV S/C Line 0502,220 kV,400,229.5,8.229,1,ACSR Moose,Twin,Intra-State,Mock South Delhi Transmission Co.,Commissioned,2024,TBCB,MOCK-NIP-00502,No,2024,,,,,,"Mock coordinates: Mayur Vihar (28.61000N, 77.30000E) to Lodhi Road (28.59000N, 77.22000E)",220 kV (Commissioned),10502,Synthetic geometry constrained to approximate Delhi NCT study area,8.229,8.229,"LINESTRING (77.300000 28.610000, 77.287427 28.611181, 77.258408 28.603044, 77.235878 28.595752, 77.220000 28.590000)"
10503,20503,NR,Mock Bawana - Dwarka 400 kV S/C Line 0503,400 kV,800,0.0,23.571,1,ACSR Zebra,Quad,ISTS,Mock Delhi Transmission Utility,Under Construction,January 2026,RTM,MOCK-NIP-00503,No,January 2026,,,,,,"Mock coordinates: Bawana (28.80000N, 77.05000E) to Dwarka (28.59000N, 77.03000E)",400 kV (Under Construction),10503,Synthetic geometry constrained to approximate Delhi NCT study area,23.571,23.571,"LINESTRING (77.050000 28.800000, 77.027497 28.701503, 77.030000 28.590000)"
10504,20504,NR,Mock Okhla - Sarita Vihar 220 kV D/C Line 0504,220 kV,500,245.5,3.963,2,AAAC,Single,Intra-State,Mock Delhi Transmission Utility,Commissioned,2022,TBCB,MOCK-NIP-00504,Yes,2022,2.0,Mock Delhi Transmission Utility,36.0,4.0,24.0,"Mock coordinates: Okhla (28.53000N, 77.28000E) to Sarita Vihar (28.53000N, 77.30000E)",220 kV (Commissioned),10504,Synthetic geometry constrained to approximate Delhi NCT study area,3.963,3.963,"LINESTRING (77.280000 28.530000, 77.296404 28.544709, 77.300000 28.530000)"
10505,20505,NR,Mock Mundka - Mahipalpur 400 kV S/C Line 0505,400 kV,1050,0.0,20.595,1,AL 59 Zebra,Quad,ISTS,Mock Delhi Transmission Utility,Under Construction,January 2026,TBCB,MOCK-NIP-00505,No,January 2026,,,,,,"Mock coordinates: Mundka (28.68000N, 76.98000E) to Mahipalpur (28.55000N, 77.13000E)",400 kV (Under Construction),10505,Synthetic geometry constrained to approximate Delhi NCT study area,20.595,20.595,"LINESTRING (76.980000 28.680000, 77.005337 28.658037, 77.062054 28.608732, 77.109043 28.564666, 77.130000 28.550000)"
10506,20506,NR,Mock Mayur Vihar - Dwarka 220 kV D/C Line 0506,220 kV,550,0.0,26.605,2,ACSR Zebra,Twin,Intra-State,Mock South Delhi Transmission Co.,Planned,September 2028,TBCB,MOCK-NIP-00506,Yes,September 2028,2.0,Mock South Delhi Transmission Co.,24.0,4.0,24.0,"Mock coordinates: Mayur Vihar (28.61000N, 77.30000E) to Dwarka (28.59000N, 77.03000E)",220 kV (Planned),10506,Synthetic geometry constrained to approximate Delhi NCT study area,26.605,26.605,"LINESTRING (77.300000 28.610000, 77.181022 28.588520, 77.030000 28.590000)"
10507,20507,NR,Mock Sarita Vihar - Punjabi Bagh 400 kV D/C Line 0507,400 kV,1500,834.5,22.876,2,ACSR Moose,Twin Moose,ISTS,Mock Inter-State Grid Delhi,Commissioned,2025,TBCB,MOCK-NIP-00507,Yes,2025,2.0,Mock Inter-State Grid Delhi,18.0,2.0,24.0,"Mock coordinates: Sarita Vihar (28.53000N, 77.30000E) to Punjabi Bagh (28.67000N, 77.13000E)",400 kV (Commissioned),10507,Synthetic geometry constrained to approximate Delhi NCT study area,22.876,22.876,"LINESTRING (77.300000 28.530000, 77.221905 28.608860, 77.130000 28.670000)"
10508,20508,NR,Mock Ridge - Punjabi Bagh 220 kV S/C Line 0508,220 kV,250,158.5,4.29,1,ACSR Moose,Twin,Intra-State,Mock Delhi Transmission Utility,Commissioned,2025,RTM,MOCK-NIP-00508,Yes,2025,1.0,Mock Delhi Transmission Utility,12.0,2.0,12.0,"Mock coordinates: Ridge (28.68000N, 77.17000E) to Punjabi Bagh (28.67000N, 77.13000E)",220 kV (Commissioned),10508,Synthetic geometry constrained to approximate Delhi NCT study area,4.29,4.29,"LINESTRING (77.170000 28.680000, 77.163856 28.678892, 77.149262 28.680812, 77.142741 28.676217, 77.130000 28.670000)"
10509,20509,NR,Mock Wazirabad - Dwarka 400 kV S/C Line 0509,400 kV,1200,484.3,19.862,1,ACSR Zebra,Quad,ISTS,Mock Delhi Transmission Utility,Commissioned,2020,RTM,MOCK-NIP-00509,No,2020,,,,,,"Mock coordinates: Wazirabad (28.71000N, 77.18000E) to Dwarka (28.59000N, 77.03000E)",400 kV (Commissioned),10509,Synthetic geometry constrained to approximate Delhi NCT study area,19.862,19.862,"LINESTRING (77.180000 28.710000, 77.157678 28.688821, 77.118032 28.655856, 77.055281 28.613951, 77.030000 28.590000)"
10510,20510,NR,Mock Narela - Mundka 400 kV D/C Line 0510,400 kV,1600,1179.0,21.898,2,AL 59 Zebra,Quad,ISTS,Mock Inter-State Grid Delhi,Commissioned,2021,TBCB,MOCK-NIP-00510,No,2021,,,,,,"Mock coordinates: Narela (28.85000N, 77.09000E) to Mundka (28.68000N, 76.98000E)",400 kV (Commissioned),10510,Synthetic geometry constrained to approximate Delhi NCT study area,21.898,21.898,"LINESTRING (77.090000 28.850000, 77.027822 28.778386, 76.980000 28.680000)"
10511,20511,NR,Mock Bawana - Mundka 220 kV S/C Line 0511,220 kV,350,0.0,15.102,1,ACSR Zebra,Single,Intra-State,Mock Delhi Transmission Utility,Under Construction,June 2029,TBCB,MOCK-NIP-00511,Yes,June 2029,1.0,Mock Delhi Transmission Utility,24.0,8.0,24.0,"Mock coordinates: Bawana (28.80000N, 77.05000E) to Mundka (28.68000N, 76.98000E)",220 kV (Under Construction),10511,Synthetic geometry constrained to approximate Delhi NCT study area,15.102,15.102,"LINESTRING (77.050000 28.800000, 76.998322 28.729250, 76.980000 28.680000)"
10512,20512,NR,Mock Najafgarh - Mahipalpur 765 kV S/C Line 0512,765 kV,1900,1552.9,16.3,1,ACSR / AAAC / AL59,Quad,ISTS,Mock Inter-State Grid Delhi,Commissioned,2020,TBCB,MOCK-NIP-00512,No,2020,,,,,,"Mock coordinates: Najafgarh (28.61000N, 76.98000E) to Mahipalpur (28.55000N, 77.13000E)",765 kV (Commissioned),10512,Synthetic geometry constrained to approximate Delhi NCT study area,16.3,16.3,"LINESTRING (76.980000 28.610000, 77.053418 28.593342, 77.130000 28.550000)"
